artikelnummer,hoeveelheid,naam,merk,prijs_per_stuk,totaal
29813,2,Eetsinaasappelen 10kg,,27.01,54.02
29876,8,Druiven mix pitloos 500g,,3.524,28.192
106621,10,Cocktailtomaten BIO 250g,,3.398,33.98
112413,2,Bananen meer geel dan groen ±1kg,,2.205,4.41
112416,2,Bananen meer groen dan geel ±1kg,,2.205,4.41
125748,3,Pitarme watermeloen 1st,,6.04,18.12
94157,4,Eetappelen 2kg,,3.168,12.672
123387,1,Clementines 10kg,,24.88,24.88
29838,1,Appelen Jonagold 7kg,,11.956,11.956
29837,1,Peren conférence 7kg,,17.738,17.738
